platform,rank,title
baidu,1,推动干部能上能下
baidu,2,亚冬会遭美国等地网络攻击超27万次
baidu,3,外交部回应美方对华加征34%关税
baidu,4,清明假期“短途游”成热门选择
baidu,5,3名菲律宾间谍落网 相貌曝光
baidu,6,“内鬼”柯雪琴被查 涉严重违纪违法
baidu,7,特朗普向无人岛加税 岛上挤满了企鹅
baidu,8,CBA名帅刘维伟被妻子实锤出轨
baidu,9,提醒甲亢哥不文明行为的女生回应了
baidu,10,不敢请假的打工人带火24小时出国游
baidu,11,职业女哭灵人半个月连哭16场
baidu,12,清明节不能问候“早上好”？谣言
baidu,13,特朗普宣布国家紧急状态
baidu,14,海天味业去年赚了63亿 计划分红47亿
baidu,15,如果台湾被能源封锁能撑多久
baidu,16,特朗普关税核弹对中国冲击有多大
baidu,17,孙俪单手倒车入库
baidu,18,医院倒闭 女子被要求“亲子鉴定”
baidu,19,6架B-2轰炸机现身印度洋美军基地
baidu,20,缅甸强震已致该国3085人死亡
baidu,21,孟子坤疑出轨未成年
baidu,22,雷军曾多次强调智驾不要脱手方向盘
baidu,23,钟睒睒：传统产业在为互联网平台打工
baidu,24,中国11.6亿人已有“经济身份证”
baidu,25,33岁儿科主治医师朱礼病逝
baidu,26,4人健身房组织卖淫最高判5年半
baidu,27,李现手持7斤镜头拍稳每一只鸟
baidu,28,商务部回应日本半导体出口管制
baidu,29,黑龙江煤矿重大运输事故43人被处理
baidu,30,租40余部手机回收套现18万元
baidu,31,外交部：日方对台湾问题尤应谨言慎行
baidu,32,徐志胜一番大男主
baidu,33,这种口腔溃疡可能是HPV病毒感染
baidu,34,男子托运行李多出条丝袜获赔4500元
baidu,35,于东来质问永辉店月赚200万不涨工资
baidu,36,贵州男子喜中1.18亿 捐款10万
baidu,37,雪莉哥哥回应金秀贤方床戏争议
baidu,38,甜馨时隔十年再发新曲
baidu,39,8岁男孩表演蒙古族舞蹈节奏感拉满
baidu,40,上海“狗狗麻辣烫”走红
baidu,41,义乌商家谈美国加税：那我就涨价
baidu,42,“吉卜力风”AI图片成政界新宠
baidu,43,山东农田疑遭污染 当地通报：鸡粪
baidu,44,男子没病却被强制治疗22天
baidu,45,甲亢哥：我爱中国 我太喜欢了
baidu,46,受特朗普关税影响 铁矿石价格走低
baidu,47,当雷军与马斯克共振
baidu,48,美科技七姐妹盘后蒸发近54000亿元
baidu,49,74岁刘晓庆晒赏花美照
baidu,50,猫咪从20楼跑出坠楼只断半根牙齿
bilibili,1,【苏新皓】自制MV cover NCT U 《Make A Wish》，堪比专业制作，难道他真的是天才？
bilibili,2,《崩坏：星穹铁道》动画短片：「那安息的长夜」
bilibili,3,90后这辈子第一次接受到的鼓励式教育
bilibili,4,前8天：穿越罗布泊无人区  第9天：主角突然换人
bilibili,5,《绝区零》星徽骑士EP丨拂晓之空 闪耀之誓
bilibili,6,“鲁智深：林冲？好吧那我输的不冤”
bilibili,7,需要喝自己胆汁的小女孩珍珍，希望以后的生活苦味追不上你
bilibili,8,《鸣潮》0.1版本PV | 缩拉里斯
bilibili,9,2025全球最全电脑故障解决指南
bilibili,10,海龟汤（2）
bilibili,11,震撼世界的72天：巴黎公社为何爆发？又为何失败？【历史调研室71】
bilibili,12,随机挑战！106元吃鸡腿？这得吃多少个…
bilibili,13,你不知道美国人其实有多爱中餐…
bilibili,14,《明日方舟》主题曲【离解复合】开放 限时纪念活动宣传pv
bilibili,15,不可能存在方的鸡！除非……
bilibili,16,《虎门抽烟》
bilibili,17,同时拥有两只高智商猫的弊端
bilibili,18,女儿：爸爸妈妈要结婚啦？
bilibili,19,陪伴我10年的员工离开了....
bilibili,20,蔬菜切法指南！从几何角度出发，一次性搞清楚所有蔬菜的最优切法【解构家常菜】
bilibili,21,给我们的组合起个名！
bilibili,22,《王 牌 空 姐》
bilibili,23,简单融个号助力忍界大战
bilibili,24,我的世界克苏鲁全集：一口气看完
bilibili,25,发个旧视频证明还在永久免费
bilibili,26,让日本观众惊掉下巴的“水之呼吸”！丝滑流星锤硬控东京漫展
bilibili,27,《学 生 最 不 爽 的 一 集》
bilibili,28,“我花了5年一个人做的独立像素游戏4月17日就要上线啦！”
bilibili,29,当我在游戏里为“狙击手”拍照...【绝区零摄影第六期】
bilibili,30,买假面骑士被骗，还被嘲讽多补补脑子！
bilibili,31,父亲的爱，总是无声的。
bilibili,32,射手，我们该算算旧账了！
bilibili,33,最感动结局《说谎公主与盲眼王子》
bilibili,34,哇！南瓜乐园越来越眼熟了！！！！#4
bilibili,35,4月1日版本更新速览丨新干员新武器即将加入！
bilibili,36,模仿不同国家的气象主播，差别真的很大！！当然最经典的还是在最后～
bilibili,37,这个视频的艺术成分有三四层楼那么高
bilibili,38,20世纪美国乡村经典民谣《阳光彩虹小白马》
bilibili,39,【崩铁】遐蝶综合测评：死龙一喷！武器对比+抽取建议+配队思路+星魂提升，砍队友型大C
bilibili,40,热烈欢迎武艺！分享他的男生清爽好物！真的好干净！好实用！好好笑！
bilibili,41,在求生房间中探寻的真相的你，得知了什么？
bilibili,42,双影奇境 第八期，大结局
bilibili,43,请选择你的穿搭！永劫无间新模式“衣V衣”实机演示
bilibili,44,《晓艳天气预报》
bilibili,45,莲雾吃出虫！正常现象？没打药？还是？【主播说三农】
bilibili,46,摩托老哥的顶级拉扯，八字与技术缺一不可
bilibili,47,美美洗白变史诗翻车，赵露思的灾难性公关太炸裂了【小小的勇气】
bilibili,48,在成都一大早吃这么香，不要命啦？
bilibili,49,这个故事让我哭得像个易摆拔十斤的傻子！！！
bilibili,50,现代修仙，没钱纯靠自律【自律狠人】【第一季超长电影版】
toutiao,1,美国对亚冬会发动网络攻击
toutiao,2,职业女哭灵人：半个月连哭16场
toutiao,3,赏花民俗体验热度攀升
toutiao,4,副部级龙翔被查
toutiao,5,关税将让美国家庭每年多花3.6万元
toutiao,6,甲亢哥直播时喊话：中国被严重低估
toutiao,7,山东入室抢婴案人贩法庭抖腿毫无忏悔
toutiao,8,特朗普宣布国家紧急状态 全面征关税
toutiao,9,喂了十年的狗狗突然咬向主人
toutiao,10,大学城发生恐怖事件？重庆辟谣
toutiao,11,特朗普的对等关税政策对谁冲击更大
toutiao,12,3名菲律宾间谍落网 相貌曝光
toutiao,13,甲亢哥空着脖子来挂着辣椒走了
toutiao,14,商务部回应美征收关税：坚决反对
toutiao,15,全红婵热身再现水花消失术
toutiao,16,提醒甲亢哥不文明行为的女生回应了
toutiao,17,美媒：面对美关税威胁中国毫不退缩
toutiao,18,大陆海警回击台英文喊话：说中文
toutiao,19,大V：马科斯陷入困境
toutiao,20,美国财长：建议各国勿采取报复行动
toutiao,21,女粉丝摸保镖肌肉让甲亢哥酸了
toutiao,22,《我的后半生》50岁杨童舒又火了
toutiao,23,特朗普宣布对台湾地区征收高关税
toutiao,24,杜特尔特绝境翻盘的转机已出现了吗
toutiao,25,河北一地拟取消老年人免费乘公交
toutiao,26,美对等关税清单竟将台列为“国家”
toutiao,27,学者：军事解决台海问题的思路变了
toutiao,28,谢浩男生母出镜辟谣
toutiao,29,为何美国被关税乱拳打进紧急状态
toutiao,30,菲方发布涉台狂妄表态意欲何为
toutiao,31,消失百年的黑林鸽现身青岛
toutiao,32,特朗普关税是怎么算出来的
toutiao,33,甜馨时隔十年发单曲
toutiao,34,儿子给爸买车 钥匙藏零食桶送惊喜
toutiao,35,金价冲向1000元
toutiao,36,多地检查组“夜袭”医院突击检查
toutiao,37,甲亢哥被重庆地铁穿楼惊到“宕机”
toutiao,38,史无前例的关税混战开始了
toutiao,39,俄军一战略轰炸机坠毁
toutiao,40,大V：尹锡悦大概率会被免去总统职务
toutiao,41,特朗普终止中国小额包裹免税待遇
toutiao,42,村民用建房技术种甘蔗
toutiao,43,孤独症男孩因高颜值走红 妈妈发声
toutiao,44,日专家：美或借对等关税实现4个目的
toutiao,45,女子看热播剧哭到全身发麻进医院
toutiao,46,甲亢哥被重庆夜景震撼
toutiao,47,中金公司：“对等关税”冲击超预期
